1,56,1,21,0,2,1,0,2,2798,2,2,0,24,2,34,1,0,0,3,1
1,43,1,20,4,2,4,0,3,10994,2,2,0,7,1,24,0,0,0,1,1
1,55,1,22,4,1,0,1,1,9403,2,0,0,51,1,51,0,0,0,2,1
0,59,1,26,2,1,2,0,4,8701,2,3,1,90,2,69,0,0,1,2,0
1,58,1,23,3,2,1,2,4,5653,1,0,0,50,1,58,0,0,0,2,2
0,44,1,20,0,1,4,0,1,3582,1,0,1,60,1,83,0,0,0,0,1
0,36,1,2,2,2,0,1,1,9108,0,2,1,86,2,38,0,0,0,3,0
0,18,0,7,4,2,3,1,1,8908,1,3,0,70,0,38,0,0,0,2,1
0,28,0,16,0,2,2,1,2,3911,1,2,0,74,2,48,0,0,1,1,1
1,36,1,20,4,0,3,0,0,8980,0,0,1,25,1,66,0,0,0,3,2
1,19,1,3,3,1,3,1,3,6430,1,0,1,81,1,55,0,0,0,1,2
0,57,0,24,0,1,1,0,0,3997,3,3,0,5,1,64,0,0,0,2,1
1,28,0,3,0,2,0,1,1,4823,1,0,0,35,2,31,0,0,0,2,3
1,26,0,3,0,1,1,0,4,2707,0,0,0,38,0,25,1,0,0,0,1
1,59,1,30,4,2,1,1,1,9778,2,3,1,85,1,105,0,0,0,0,2
0,26,0,12,2,2,1,0,0,9211,0,1,0,93,1,35,1,0,1,2,1
1,41,0,17,3,2,1,2,0,5827,1,2,1,49,2,39,1,0,0,1,1
1,41,0,19,0,2,0,1,2,4279,2,0,0,32,2,37,1,0,0,2,1
1,50,1,35,2,0,0,0,0,8028,2,2,1,77,1,50,0,0,0,3,1
1,40,1,27,1,1,0,1,2,6888,0,3,1,44,2,103,0,0,1,2,0
1,51,0,40,0,1,0,0,2,4734,1,3,0,51,1,51,1,0,0,2,2
0,57,1,11,4,1,3,1,4,6692,1,0,1,92,1,37,0,0,0,3,2
1,55,0,26,0,1,4,2,0,4576,2,0,0,10,1,99,0,0,1,2,1
0,39,0,2,3,1,3,1,0,6363,3,0,0,92,0,69,0,0,0,1,0
0,45,1,3,3,2,0,1,1,6361,3,0,1,43,1,50,0,0,0,2,2
0,35,1,4,2,2,0,0,1,8913,2,3,0,86,0,22,0,0,0,1,2
1,42,0,12,0,2,0,2,4,6392,2,2,0,52,1,60,0,0,0,1,0
1,58,1,28,4,0,1,1,1,11659,3,0,0,75,0,66,0,0,0,2,2
0,37,0,4,0,2,1,1,3,5718,3,0,1,37,1,64,0,0,0,2,2
0,39,1,22,2,2,1,1,3,8627,3,0,1,89,0,83,0,0,0,1,1
0,36,0,10,2,2,1,0,1,7075,2,3,0,84,1,57,0,0,0,1,0
1,18,0,3,4,1,0,2,3,8384,2,1,0,22,0,77,0,0,0,1,3
0,28,0,19,0,2,1,2,1,3730,1,3,0,36,1,24,0,0,0,2,0
0,51,1,16,2,2,1,0,1,8407,2,3,0,63,2,66,0,0,0,2,1
1,41,1,6,0,2,3,2,5,5526,0,3,0,3,2,77,1,0,0,3,0
0,18,0,6,0,1,0,0,1,4679,2,0,1,45,2,38,0,0,0,2,0
0,21,1,6,4,1,0,0,2,7928,2,2,0,60,1,15,0,0,0,2,2
1,29,1,13,3,0,3,1,1,6539,2,0,0,33,0,35,1,0,0,3,0
0,29,1,18,4,2,3,2,3,7037,2,3,0,14,2,33,0,0,0,0,2
1,51,0,27,0,2,1,1,4,4408,0,0,0,52,0,83,0,0,0,2,0
0,59,1,41,1,1,1,0,3,11013,2,2,1,89,1,87,0,0,0,1,2
1,48,0,28,4,0,1,1,1,11814,3,0,1,19,1,75,1,1,0,0,1
1,30,1,22,4,2,2,0,1,12034,0,0,0,24,1,47,1,0,0,3,1
1,30,1,10,4,1,3,0,2,9528,2,2,1,91,1,63,0,0,0,2,0
0,30,0,13,4,2,0,2,3,9200,2,3,1,73,0,84,0,0,0,2,1
1,39,0,6,4,1,2,1,3,8419,2,1,0,54,1,38,0,1,0,2,2
1,31,0,23,4,2,0,2,0,10676,0,0,0,30,1,55,0,0,0,1,0
